Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Club
Vasil KAKOVIN,Pilier,25 ans,01/12/1989,183,110,JIFF,PRO,Toulouse
Christopher TOLOFUA,Talonneur,21 ans,31/12/1993,182,117,JIFF,PRO,Toulouse
Corey FLYNN,Talonneur,34 ans,05/01/1981,184,108,NONJIFF,PRO,Toulouse
Julien MARCHAND,Talonneur,20 ans,10/05/1995,181,95,ESPOIR,ESPOIR,Toulouse
Grégory LAMBOLEY,2ème ligne,33 ans,12/01/1982,195,104,JIFF,PRO,Toulouse
Iosefa TEKORI,2ème ligne,31 ans,17/12/1983,198,127,NONJIFF,PRO,Toulouse
Patricio ALBACETE,2ème ligne,34 ans,09/02/1981,200,117,NONJIFF,PRO,Toulouse
Romain MILLO-CHLUSKI,2ème ligne,32 ans,20/04/1983,196,119,JIFF,PRO,Toulouse
Yoann MAESTRI,2ème ligne,27 ans,14/01/1988,201,119,JIFF,PRO,Toulouse
Edgar TUINUKUAFE,3ème ligne,22 ans,07/10/1993,188,114,ESPOIR,ESPOIR,Toulouse
Edwin MAKA,3ème ligne,22 ans,25/01/1993,202,142,ESPOIR,ESPOIR,Toulouse
François CROS,3ème ligne,21 ans,25/03/1994,190,95,ESPOIR,ESPOIR,Toulouse
Gillian GALAN,3ème ligne,24 ans,07/08/1991,193,120,JIFF,PRO,Toulouse
Imanol HARINORDOQUY,3ème ligne,35 ans,20/02/1980,192,108,JIFF,PRO,Toulouse
Louis PICAMOLES,3ème ligne,29 ans,05/02/1986,192,118,JIFF,PRO,Toulouse
Talalelei GRAY,3ème ligne,25 ans,28/02/1990,194,110,NONJIFF,PRO,Toulouse
Thierry DUSAUTOIR,3ème ligne,34 ans,18/11/1981,188,95,JIFF,PRO,Toulouse
Yacouba CAMARA,3ème ligne,21 ans,02/06/1994,195,100,ESPOIR,ESPOIR,Toulouse
David MÉLÉ,Mêlée,30 ans,22/10/1985,171,78,JIFF,PRO,Toulouse
Jean-Marc DOUSSAIN,Mêlée,24 ans,12/02/1991,174,90,JIFF,PRO,Toulouse
Sébastien BEZY,Mêlée,24 ans,22/11/1991,174,74,JIFF,PRO,Toulouse
Toby FLOOD,Ouverture,30 ans,08/08/1985,188,95,NONJIFF,PRO,Toulouse
Florian FRITZ,Centre,31 ans,17/01/1984,184,94,JIFF,PRO,Toulouse
Gaël FICKOU,Centre,21 ans,26/03/1994,189,90,JIFF,PRO,Toulouse
Joseva RAUGA,Centre,19 ans,09/04/1996,188,89,ESPOIR,ESPOIR,Toulouse
Luke MCALISTER,Centre,32 ans,28/08/1983,178,94,NONJIFF,PRO,Toulouse
Paul PEREZ,Centre,29 ans,26/07/1986,189,104,JOKER,PRO,Toulouse
Semi KUNATANI,Centre,25 ans,27/10/1990,192,98,NONJIFF,PRO,Toulouse
Yann DAVID,Centre,27 ans,15/04/1988,185,102,JIFF,PRO,Toulouse
Arthur BONNEVAL,Ailier,20 ans,31/05/1995,181,82,ESPOIR,ESPOIR,Toulouse
Timoci MATANAVOU,Ailier,31 ans,08/07/1984,185,86,NONJIFF,PRO,Toulouse
Vincent CLERC,Ailier,34 ans,07/05/1981,178,85,JIFF,PRO,Toulouse
Yoann HUGET,Ailier,28 ans,02/06/1987,190,97,JIFF,PRO,Toulouse
Alexis PALISSON,Arrière,28 ans,09/09/1987,177,85,JIFF,PRO,Toulouse
Clément POITRENAUD,Arrière,33 ans,20/05/1982,188,90,JIFF,PRO,Toulouse
Maxime MEDARD,Arrière,29 ans,16/11/1986,180,85,JIFF,PRO,Toulouse
Thomas RAMOS,Arrière,20 ans,23/07/1995,178,78,ESPOIR,ESPOIR,Toulouse
